start,stop,label
14:09:57.885000,14:09:58.661000,blink
14:10:00.117000,14:10:00.969000,blink
14:10:01.869000,14:10:02.689000,blink
14:10:03.865000,14:10:04.553000,blink
14:10:05.733000,14:10:06.477000,blink
14:10:07.705000,14:10:08.365000,blink
14:10:09.733000,14:10:10.337000,blink
14:10:11.541000,14:10:12.173000,blink
14:10:12.557000,14:10:13.145000,blink
14:10:13.149000,14:10:13.829000,blink
14:10:15.141000,14:10:15.985000,blink
14:10:16.733000,14:10:17.377000,blink
14:10:18.521000,14:10:18.993000,blink
14:10:19.997000,14:10:20.453000,blink
14:10:21.633000,14:10:22.161000,blink
14:10:23.241000,14:10:23.689000,blink
14:10:24.785000,14:10:25.273000,blink
14:10:26.561000,14:10:27.001000,blink
14:10:28.121000,14:10:28.665000,blink
14:10:29.633000,14:10:30.101000,blink
14:10:31.461000,14:10:31.921000,blink
14:10:33.181000,14:10:33.661000,blink
14:10:34.733000,14:10:35.173000,blink
14:10:36.045000,14:10:36.493000,blink
14:10:37.941000,14:10:38.333000,blink
14:10:39.521000,14:10:40.037000,blink
14:10:41.321000,14:10:41.757000,blink
14:10:43.193000,14:10:43.685000,blink
14:10:44.793000,14:10:45.293000,blink
14:10:46.641000,14:10:47.161000,blink
14:10:48.033000,14:10:48.033000,blink
14:10:49.417000,14:10:49.805000,blink
14:10:50.917000,14:10:51.345000,blink
14:10:52.369000,14:10:52.821000,blink
14:10:53.701000,14:10:54.065000,blink
14:10:55.217000,14:10:55.625000,blink
14:10:56.597000,14:10:57.009000,blink
14:10:58.009000,14:10:58.413000,blink
14:10:59.521000,14:10:59.977000,blink
14:11:00.941000,14:11:01.305000,blink
14:11:02.361000,14:11:02.837000,blink
14:11:03.673000,14:11:04.117000,blink
14:11:04.909000,14:11:05.325000,blink
14:11:06.193000,14:11:06.593000,blink
14:11:07.461000,14:11:07.873000,blink
14:11:08.813000,14:11:09.229000,blink
14:11:10.069000,14:11:10.477000,blink
14:11:11.393000,14:11:11.785000,blink
14:11:12.521000,14:11:12.905000,blink
14:11:13.793000,14:11:14.213000,blink
14:11:15.081000,14:11:15.481000,blink
14:11:16.233000,14:11:16.621000,blink
14:11:17.521000,14:11:17.913000,blink
14:11:18.761000,14:11:19.073000,blink
14:11:20.197000,14:11:20.585000,blink
14:11:21.705000,14:11:22.069000,blink
14:11:23.209000,14:11:23.561000,blink
14:11:23.745000,14:11:24.749000,blink
