start,end,label
2025-09-10T11:14:04.045150,2025-09-10T11:14:05.420850,garbage
2025-09-10T11:14:05.749800,2025-09-10T11:14:06.578200,blink
2025-09-10T11:14:06.982050,2025-09-10T11:14:07.821950,blink
2025-09-10T11:14:08.850750,2025-09-10T11:14:09.689250,blink
2025-09-10T11:14:10.463050,2025-09-10T11:14:11.416950,blink
2025-09-10T11:14:13.341250,2025-09-10T11:14:14.174750,blink
2025-09-10T11:14:14.825700,2025-09-10T11:14:15.694300,blink
2025-09-10T11:14:16.276700,2025-09-10T11:14:17.155300,blink
2025-09-10T11:14:17.482050,2025-09-10T11:14:18.415950,blink
2025-09-10T11:14:18.896100,2025-09-10T11:14:19.829900,blink
2025-09-10T11:14:20.214400,2025-09-10T11:14:21.007600,blink
2025-09-10T11:14:21.658300,2025-09-10T11:14:22.481700,blink
2025-09-10T11:14:23.072200,2025-09-10T11:14:23.945800,blink
2025-09-10T11:14:24.506400,2025-09-10T11:14:25.289600,blink
2025-09-10T11:14:25.648600,2025-09-10T11:14:26.341400,blink
2025-09-10T11:14:26.906750,2025-09-10T11:14:27.755250,blink
2025-09-10T11:14:28.347700,2025-09-10T11:14:29.236300,blink
2025-09-10T11:14:29.482950,2025-09-10T11:14:30.221050,blink
2025-09-10T11:14:30.678150,2025-09-10T11:14:31.335850,blink
2025-09-10T11:14:32.245400,2025-09-10T11:14:33.028600,blink
2025-09-10T11:14:33.393050,2025-09-10T11:14:34.090950,blink
2025-09-10T11:14:35.009850,2025-09-10T11:14:35.818150,blink
2025-09-10T11:14:35.868168529,2025-09-10T11:14:39.123831471,garbage
2025-09-10T11:14:11.744271929,2025-09-10T11:14:13.145728071,garbage
