start,end,label
2025-09-01T18:42:39.119150,2025-09-01T18:42:39.780850,blink
2025-09-01T18:42:44.914200,2025-09-01T18:42:45.975800,blink
2025-09-01T18:42:51.014200,2025-09-01T18:42:52.075800,blink
2025-09-01T18:42:57.025200,2025-09-01T18:42:58.086800,blink
2025-09-01T18:43:02.953200,2025-09-01T18:43:04.014800,blink
2025-09-01T18:43:08.979200,2025-09-01T18:43:10.040800,blink
2025-09-01T18:43:14.164200,2025-09-01T18:43:15.225800,blink
2025-09-01T18:43:21.025200,2025-09-01T18:43:22.086800,blink
2025-09-01T18:43:26.386200,2025-09-01T18:43:27.447800,blink
2025-09-01T18:43:32.887200,2025-09-01T18:43:33.948800,blink
2025-09-01T18:43:39.190200,2025-09-01T18:43:40.251800,blink
2025-09-01T18:42:41.247550,2025-09-01T18:42:41.902450,gaze_right
2025-09-01T18:42:47.381550,2025-09-01T18:42:48.036450,gaze_right
2025-09-01T18:42:53.298900,2025-09-01T18:42:53.933100,gaze_right
2025-09-01T18:42:59.146300,2025-09-01T18:42:59.959700,gaze_right
2025-09-01T18:43:04.991300,2025-09-01T18:43:05.804700,gaze_right
2025-09-01T18:43:11.064300,2025-09-01T18:43:11.877700,gaze_right
2025-09-01T18:43:16.868300,2025-09-01T18:43:17.681700,gaze_right
2025-09-01T18:43:23.018300,2025-09-01T18:43:23.831700,gaze_right
2025-09-01T18:43:29.026300,2025-09-01T18:43:29.839700,gaze_right
2025-09-01T18:43:35.037300,2025-09-01T18:43:35.850700,gaze_right
2025-09-01T18:42:42.912300,2025-09-01T18:42:43.725700,gaze_center
2025-09-01T18:42:48.990300,2025-09-01T18:42:49.803700,gaze_center
2025-09-01T18:42:55.135300,2025-09-01T18:42:55.948700,gaze_center
2025-09-01T18:43:00.781300,2025-09-01T18:43:01.594700,gaze_center
2025-09-01T18:43:06.872300,2025-09-01T18:43:07.685700,gaze_center
2025-09-01T18:43:12.839300,2025-09-01T18:43:13.652700,gaze_center
2025-09-01T18:43:18.755300,2025-09-01T18:43:19.568700,gaze_center
2025-09-01T18:43:25.086300,2025-09-01T18:43:25.899700,gaze_center
2025-09-01T18:43:30.856300,2025-09-01T18:43:31.669700,gaze_center
2025-09-01T18:43:37.241300,2025-09-01T18:43:38.054700,gaze_center
