start,end,label
2025-09-01T19:59:34.924750,2025-09-01T19:59:36.599250,blink
2025-09-01T19:59:31.084750,2025-09-01T19:59:31.827250,gaze_left
2025-09-01T19:59:07.221100,2025-09-01T19:59:11.830900,garbage
2025-09-01T19:59:11.854312500,2025-09-01T19:59:12.775687500,blink
2025-09-01T19:59:13.046200,2025-09-01T19:59:17.027800,garbage
2025-09-01T19:59:17.758612248,2025-09-01T19:59:18.747387752,blink
2025-09-01T19:59:19.918888201,2025-09-01T19:59:20.581111799,gaze_left
2025-09-01T19:59:21.478850,2025-09-01T19:59:22.007150,gaze_right
2025-09-01T19:59:23.346644750,2025-09-01T19:59:24.567355250,blink
2025-09-01T19:59:25.173999381,2025-09-01T19:59:25.770000619,gaze_left
2025-09-01T19:59:27.014800,2025-09-01T19:59:27.719200,gaze_right
2025-09-01T19:59:29.278827500,2025-09-01T19:59:30.635172500,blink
2025-09-01T19:59:33.191400,2025-09-01T19:59:33.654600,gaze_right
2025-09-01T19:59:37.042468,2025-09-01T19:59:37.491532,gaze_left
2025-09-01T19:59:39.123350,2025-09-01T19:59:39.896650,gaze_right
2025-09-01T19:59:41.037470148,2025-09-01T19:59:42.514529852,blink
2025-09-01T19:59:45.148650,2025-09-01T19:59:45.669350,gaze_right
2025-09-01T19:59:47.422827500,2025-09-01T19:59:48.779172500,blink
2025-09-01T19:59:49.336479501,2025-09-01T19:59:49.835520499,gaze_left
2025-09-01T19:59:50.929550,2025-09-01T19:59:51.488450,gaze_right
2025-09-01T19:59:53.714827500,2025-09-01T19:59:55.071172500,blink
2025-09-01T19:59:55.566117900,2025-09-01T19:59:56.141882100,gaze_left
2025-09-01T19:59:56.576700,2025-09-01T19:59:57.411300,gaze_right
2025-09-01T19:59:59.283680275,2025-09-01T20:00:00.382319725,blink
