start,end,label
2025-09-10T11:31:47.266050,2025-09-10T11:31:50.085950,garbage
2025-09-10T11:31:51.640250,2025-09-10T11:31:52.305750,blink
2025-09-10T11:31:53.981950,2025-09-10T11:31:54.648050,blink
2025-09-10T11:31:55.352000,2025-09-10T11:31:55.750000,blink
2025-09-10T11:31:57.225650,2025-09-10T11:31:57.980350,blink
2025-09-10T11:31:59.377500,2025-09-10T11:31:59.974500,blink
2025-09-10T11:32:01.494650,2025-09-10T11:32:02.249350,blink
2025-09-10T11:32:03.258250,2025-09-10T11:32:03.827750,blink
2025-09-10T11:32:04.969300,2025-09-10T11:32:05.652700,blink
2025-09-10T11:32:07.158600,2025-09-10T11:32:08.021400,blink
2025-09-10T11:32:09.575300,2025-09-10T11:32:10.182700,blink
2025-09-10T11:32:11.436250,2025-09-10T11:32:11.967750,blink
2025-09-10T11:32:13.122600,2025-09-10T11:32:13.877400,blink
2025-09-10T11:32:15.290950,2025-09-10T11:32:15.881050,blink
2025-09-10T11:32:17.261150,2025-09-10T11:32:18.310850,blink
2025-09-10T11:32:19.364500,2025-09-10T11:32:20.105500,blink
2025-09-10T11:32:21.334000,2025-09-10T11:32:21.876000,blink
2025-09-10T11:32:22.984650,2025-09-10T11:32:23.739350,blink
2025-09-10T11:32:24.947900,2025-09-10T11:32:25.730100,blink
2025-09-10T11:32:27.006700,2025-09-10T11:32:27.569300,blink
2025-09-10T11:32:29.107150,2025-09-10T11:32:29.762850,blink
2025-09-10T11:32:31.095700001,2025-09-10T11:32:31.620299999,blink
