start,end,label
2025-09-05T10:23:47.826750,2025-09-05T10:23:50.129250,garbage
2025-09-05T10:23:50.361628958,2025-09-05T10:23:51.116371042,blink
2025-09-05T10:23:51.301050,2025-09-05T10:23:51.814950,garbage
2025-09-05T10:23:52.244750,2025-09-05T10:23:52.899250,blink
2025-09-05T10:23:53.596475,2025-09-05T10:23:54.185525,blink
2025-09-05T10:23:55.713291275,2025-09-05T10:23:56.142708725,blink
2025-09-05T10:23:58.647250,2025-09-05T10:23:59.144750,blink
2025-09-05T10:23:59.644125,2025-09-05T10:24:00.091875,blink
2025-09-05T10:24:00.812250,2025-09-05T10:24:05.111750,garbage
2025-09-05T10:24:05.429700,2025-09-05T10:24:06.216300,blink
2025-09-05T10:24:06.368100,2025-09-05T10:24:11.373900,garbage
2025-09-05T10:24:11.611350,2025-09-05T10:24:12.962650,blink
2025-09-05T10:24:13.323400,2025-09-05T10:24:18.390600,garbage
2025-09-05T10:24:18.665750,2025-09-05T10:24:19.320250,blink
2025-09-05T10:24:20.245927500,2025-09-05T10:24:20.776072500,blink
2025-09-05T10:24:21.668750,2025-09-05T10:24:22.323250,blink
2025-09-05T10:24:23.717750,2025-09-05T10:24:24.372250,blink
2025-09-05T10:24:25.458927500,2025-09-05T10:24:25.989072500,blink
2025-09-05T10:24:26.802475,2025-09-05T10:24:27.391525,blink
2025-09-05T10:24:27.503100,2025-09-05T10:24:29.222900,garbage
2025-09-05T10:24:29.532927500,2025-09-05T10:24:30.063072500,blink
2025-09-05T10:24:30.985434751,2025-09-05T10:24:31.462565249,blink
2025-09-05T10:24:32.944762148,2025-09-05T10:24:33.331237852,blink
2025-09-05T10:24:34.925927500,2025-09-05T10:24:35.456072500,blink
2025-09-05T10:24:36.841927500,2025-09-05T10:24:37.372072500,blink
2025-09-05T10:24:38.909434751,2025-09-05T10:24:39.386565249,blink
2025-09-05T10:24:40.614434751,2025-09-05T10:24:41.091565249,blink
2025-09-05T10:24:42.715434751,2025-09-05T10:24:43.192565249,blink
2025-09-05T10:24:44.740927500,2025-09-05T10:24:45.271072500,blink
2025-09-05T10:24:46.828927500,2025-09-05T10:24:47.359072500,blink
2025-09-05T10:24:49.147475,2025-09-05T10:24:49.736525,blink
2025-09-05T10:24:50.834477340,2025-09-05T10:24:51.147522660,blink
2025-09-05T10:24:52.779291275,2025-09-05T10:24:53.208708725,blink
2025-09-05T10:24:54.950762148,2025-09-05T10:24:55.337237852,blink
2025-09-05T10:24:56.839291275,2025-09-05T10:24:57.268708725,blink
2025-09-05T10:24:58.620434751,2025-09-05T10:24:59.097565249,blink
2025-09-05T10:25:00.692927500,2025-09-05T10:25:01.223072500,blink
2025-09-05T10:25:03.316475,2025-09-05T10:25:03.905525,blink
2025-09-05T10:25:05.197927500,2025-09-05T10:25:05.728072500,blink
2025-09-05T10:25:07.010750,2025-09-05T10:25:07.665250,blink
2025-09-05T10:25:08.798750,2025-09-05T10:25:09.453250,blink
2025-09-05T10:25:10.780927500,2025-09-05T10:25:11.311072500,blink
2025-09-05T10:25:12.602927500,2025-09-05T10:25:13.133072500,blink
2025-09-05T10:25:15.263927500,2025-09-05T10:25:15.794072500,blink
2025-09-05T10:25:17.609216645,2025-09-05T10:25:17.862783355,blink
2025-09-05T10:25:18.811202443,2025-09-05T10:25:19.330797557,blink
2025-09-05T10:25:21.492477340,2025-09-05T10:25:21.805522660,blink
2025-09-05T10:25:22.757282330,2025-09-05T10:25:24.032717670,garbage
2025-09-05T10:25:24.188250,2025-09-05T10:25:28.169750,garbage
2025-09-05T10:25:28.981894981,2025-09-05T10:25:29.210105019,blink
2025-09-05T10:25:28.229450,2025-09-05T10:25:28.666550,blink
2025-09-05T10:25:30.587750,2025-09-05T10:25:31.242250,blink
2025-09-05T10:25:33.645300,2025-09-05T10:25:33.950700,blink
2025-09-05T10:25:35.460800,2025-09-05T10:25:35.873200,blink
2025-09-05T10:25:37.014800,2025-09-05T10:25:37.315200,blink
2025-09-05T10:25:37.471550,2025-09-05T10:25:41.768450,garbage
2025-09-05T10:25:42.236927500,2025-09-05T10:25:42.767072500,blink
2025-09-05T10:25:44.029927500,2025-09-05T10:25:44.560072500,blink
2025-09-05T10:25:45.509927500,2025-09-05T10:25:46.040072500,blink
2025-09-05T10:25:47.621750,2025-09-05T10:25:48.276250,blink
2025-09-05T10:25:49.143927500,2025-09-05T10:25:49.674072500,blink
2025-09-05T10:25:50.965927500,2025-09-05T10:25:51.496072500,blink
2025-09-05T10:25:51.604300,2025-09-05T10:25:56.877700,garbage
2025-09-05T10:25:57.290750,2025-09-05T10:25:57.945250,blink
2025-09-05T10:25:58.983750,2025-09-05T10:25:59.638250,blink
2025-09-05T10:26:01.316927500,2025-09-05T10:26:01.847072500,blink
