start,end,label
2025-09-05T19:31:45.616600,2025-09-05T19:31:46.545400,blink
2025-09-05T19:31:49.628600,2025-09-05T19:31:50.557400,blink
2025-09-05T19:31:53.727600,2025-09-05T19:31:54.656400,blink
2025-09-05T19:31:57.269600,2025-09-05T19:31:58.198400,blink
2025-09-05T19:32:01.738600,2025-09-05T19:32:02.667400,blink
2025-09-05T19:32:05.180600,2025-09-05T19:32:06.109400,blink
2025-09-05T19:32:09.148600,2025-09-05T19:32:10.077400,blink
2025-09-05T19:32:13.027600,2025-09-05T19:32:13.956400,blink
2025-09-05T19:32:17.097600,2025-09-05T19:32:18.026400,blink
2025-09-05T19:32:21.027600,2025-09-05T19:32:21.956400,blink
2025-09-05T19:32:25.114600,2025-09-05T19:32:26.043400,blink
2025-09-05T19:32:28.825600,2025-09-05T19:32:29.754400,blink
2025-09-05T19:32:33.235600,2025-09-05T19:32:34.164400,blink
2025-09-05T19:32:32.076600,2025-09-05T19:32:33.005400,blink
2025-09-05T19:32:37.431600,2025-09-05T19:32:38.360400,blink
2025-09-05T19:32:41.184600,2025-09-05T19:32:42.113400,blink
2025-09-05T19:32:45.478600,2025-09-05T19:32:46.407400,blink
2025-09-05T19:32:49.436600,2025-09-05T19:32:50.365400,blink
2025-09-05T19:31:47.578600,2025-09-05T19:31:48.507400,gaze_right
2025-09-05T19:31:55.346600,2025-09-05T19:31:56.275400,gaze_right
2025-09-05T19:32:03.386600,2025-09-05T19:32:04.315400,gaze_right
2025-09-05T19:32:11.246600,2025-09-05T19:32:12.175400,gaze_right
2025-09-05T19:32:18.591600,2025-09-05T19:32:19.520400,gaze_right
2025-09-05T19:32:26.883600,2025-09-05T19:32:27.812400,gaze_right
2025-09-05T19:32:34.828600,2025-09-05T19:32:35.757400,gaze_right
2025-09-05T19:32:43.179600,2025-09-05T19:32:44.108400,gaze_right
2025-09-05T19:32:51.084600,2025-09-05T19:32:52.013400,gaze_right
2025-09-05T19:31:51.122050,2025-09-05T19:31:51.873950,gaze_center
2025-09-05T19:31:59.480050,2025-09-05T19:32:00.231950,gaze_center
2025-09-05T19:32:07.131050,2025-09-05T19:32:07.882950,gaze_center
2025-09-05T19:32:15.022050,2025-09-05T19:32:15.773950,gaze_center
2025-09-05T19:32:22.824050,2025-09-05T19:32:23.575950,gaze_center
2025-09-05T19:32:30.954050,2025-09-05T19:32:31.705950,gaze_center
2025-09-05T19:32:39.297050,2025-09-05T19:32:40.048950,gaze_center
