start,end,label
2025-09-01T16:08:34.206300,2025-09-01T16:08:35.291700,blink
2025-09-01T16:08:36.165300,2025-09-01T16:08:37.250700,blink
2025-09-01T16:08:38.156300,2025-09-01T16:08:39.241700,blink
2025-09-01T16:08:40.165300,2025-09-01T16:08:41.250700,blink
2025-09-01T16:08:42.243300,2025-09-01T16:08:43.328700,blink
2025-09-01T16:08:43.972300,2025-09-01T16:08:45.057700,blink
2025-09-01T16:08:46.112300,2025-09-01T16:08:47.197700,blink
2025-09-01T16:08:47.979300,2025-09-01T16:08:49.064700,blink
2025-09-01T16:08:50.208300,2025-09-01T16:08:51.293700,blink
2025-09-01T16:08:52.144300,2025-09-01T16:08:53.229700,blink
2025-09-01T16:08:53.857300,2025-09-01T16:08:54.942700,blink
2025-09-01T16:08:55.923300,2025-09-01T16:08:57.008700,blink
2025-09-01T16:08:58.077300,2025-09-01T16:08:59.162700,blink
2025-09-01T16:08:59.877300,2025-09-01T16:09:00.962700,blink
2025-09-01T16:09:01.722300,2025-09-01T16:09:02.807700,blink
2025-09-01T16:09:03.851300,2025-09-01T16:09:04.936700,blink
2025-09-01T16:09:05.890300,2025-09-01T16:09:06.975700,blink
2025-09-01T16:09:08.117300,2025-09-01T16:09:09.202700,blink
2025-09-01T16:09:10.030300,2025-09-01T16:09:11.115700,blink
2025-09-01T16:09:11.948300,2025-09-01T16:09:13.033700,blink
2025-09-01T16:09:18.057300,2025-09-01T16:09:19.142700,blink
2025-09-01T16:09:20.039300,2025-09-01T16:09:21.124700,blink
2025-09-01T16:09:22.266300,2025-09-01T16:09:23.351700,blink
2025-09-01T16:09:24.315300,2025-09-01T16:09:25.400700,blink
2025-09-01T16:09:26.607300,2025-09-01T16:09:27.692700,blink
2025-09-01T16:09:28.413300,2025-09-01T16:09:29.498700,blink
2025-09-01T16:09:30.458300,2025-09-01T16:09:31.543700,blink
2025-09-01T16:09:32.373300,2025-09-01T16:09:33.458700,blink
2025-09-01T16:09:34.407300,2025-09-01T16:09:35.492700,blink
