start,stop,label
13:54:41.127000,13:54:48.783000,garbage
13:54:48.891000,13:54:49.243000,gazeleft
13:54:49.839000,13:54:50.143000,gazecenter
13:54:50.859000,13:54:51.175000,gazeright
13:54:51.935000,13:54:52.227000,gazecenter
13:54:52.795000,13:54:53.239000,gazeleft
13:54:53.799000,13:54:54.227000,gazecenter
13:54:54.715000,13:54:55.143000,gazeright
13:54:55.871000,13:54:56.327000,gazecenter
13:54:56.719000,13:54:56.927000,gazeleft
13:54:57.459000,13:54:57.851000,gazecenter
13:54:58.515000,13:54:58.803000,gazeright
13:54:59.631000,13:54:59.991000,gazecenter
13:55:00.635000,13:55:01.095000,gazeleft
13:55:01.603000,13:55:02.007000,gazecenter
13:55:02.207000,13:55:02.967000,blink
13:55:04.479000,13:55:05.411000,garbage
13:55:05.567000,13:55:05.967000,gazecenter
13:55:06.515000,13:55:06.839000,gazeright
13:55:07.491000,13:55:07.711000,gazecenter
13:55:08.635000,13:55:08.879000,gazeleft
13:55:09.575000,13:55:09.863000,gazecenter
13:55:10.431000,13:55:10.747000,gazeright
13:55:11.559000,13:55:11.823000,gazecenter
13:55:11.887000,13:55:12.431000,blink
13:55:12.523000,13:55:12.771000,gazeleft
13:55:13.695000,13:55:14.319000,gazecenter
13:55:14.459000,13:55:14.671000,gazeright
13:55:15.479000,13:55:15.715000,gazecenter
13:55:16.431000,13:55:16.863000,gazeleft
13:55:17.331000,13:55:17.607000,gazecenter
13:55:18.327000,13:55:18.559000,gazeright
13:55:19.279000,13:55:19.623000,gazecenter
13:55:20.383000,13:55:20.751000,gazeleft
13:55:21.255000,13:55:21.483000,gazecenter
13:55:21.999000,13:55:22.551000,gazeright
13:55:23.135000,13:55:23.463000,gazecenter
13:55:24.267000,13:55:24.495000,gazeleft
13:55:25.215000,13:55:25.491000,gazecenter
13:55:26.031000,13:55:26.295000,gazeright
13:55:27.103000,13:55:27.463000,gazecenter
13:55:28.167000,13:55:28.511000,gazeleft
13:55:29.071000,13:55:29.411000,gazecenter
13:55:29.939000,13:55:30.287000,gazeright
13:55:31.067000,13:55:31.343000,gazecenter
13:55:31.483000,13:55:32.011000,blink
13:55:32.323000,13:55:32.615000,gazeleft
13:55:33.215000,13:55:33.435000,gazecenter
13:55:34.091000,13:55:34.355000,gazeright
13:55:35.199000,13:55:35.527000,gazecenter
13:55:36.083000,13:55:36.439000,gazeleft
13:55:36.939000,13:55:37.327000,gazecenter
13:55:38.039000,13:55:38.375000,gazeright
13:55:39.039000,13:55:39.259000,gazecenter
13:55:39.827000,13:55:40.083000,gazeleft
13:55:40.919000,13:55:41.207000,gazecenter
13:55:41.867000,13:55:42.295000,gazeright
13:55:42.947000,13:55:51.559000,garbage
13:55:51.671000,13:55:52.123000,gazeleft
13:55:53.559000,13:55:53.959000,gazecenter
13:55:55.375000,13:55:55.659000,gazeright
13:55:56.119000,13:55:59.379000,garbage
13:55:59.635000,13:56:00.131000,gazeleft
13:56:01.575000,13:56:02.127000,gazecenter
13:56:02.411000,13:56:02.935000,blink
13:56:03.587000,13:56:03.867000,gazeright
13:56:05.603000,13:56:06.055000,gazecenter
13:56:07.455000,13:56:07.799000,gazeleft
13:56:09.539000,13:56:09.875000,gazecenter
13:56:11.295000,13:56:11.831000,gazeright
13:56:13.299000,13:56:13.679000,gazecenter
13:56:13.983000,13:56:18.939000,garbage
13:56:19.147000,13:56:19.647000,gazeleft
13:56:21.099000,13:56:21.915000,gazecenter
13:56:22.951000,13:56:23.443000,gazeright
13:56:25.235000,13:56:25.519000,gazecenter
13:56:27.047000,13:56:27.479000,gazeleft
13:56:29.211000,13:56:29.839000,gazecenter
13:56:30.859000,13:56:31.367000,gazeright
13:56:32.931000,13:56:33.315000,gazecenter
13:56:34.175000,13:56:34.643000,blink
13:56:35.039000,13:56:35.411000,gazeleft
13:56:36.943000,13:56:37.303000,gazecenter
13:56:38.139000,13:56:38.567000,blink
13:56:38.935000,13:56:39.307000,gazeright
13:56:41.059000,13:56:41.435000,gazecenter
13:56:42.015000,13:56:42.443000,blink
13:56:43.011000,13:56:43.311000,gazeleft
13:56:44.931000,13:56:45.287000,gazecenter
13:56:46.187000,13:56:46.643000,blink
13:56:46.699000,13:56:47.155000,gazeright
13:56:48.923000,13:56:49.419000,gazecenter
13:56:49.763000,13:56:50.287000,blink
13:56:50.851000,13:56:51.207000,gazeleft
13:56:52.675000,13:56:53.195000,gazecenter
13:56:53.615000,13:56:54.107000,blink
13:56:54.591000,13:56:54.979000,gazeright
13:56:56.691000,13:56:57.159000,gazecenter
13:56:57.747000,13:56:58.223000,blink
13:56:58.583000,13:56:58.891000,gazeleft
13:57:00.587000,13:57:00.991000,gazecenter
13:57:01.539000,13:57:02.011000,blink
13:57:02.627000,13:57:02.827000,gazeright
13:57:04.603000,13:57:05.203000,gazecenter
13:57:05.543000,13:57:05.955000,blink
13:57:06.403000,13:57:07.127000,gazeleft
13:57:08.179000,13:57:08.331000,gazecenter
13:57:08.791000,13:57:09.535000,garbage
13:57:09.979000,13:57:10.363000,gazeright
13:57:12.019000,13:57:12.231000,gazecenter
13:57:12.907000,13:57:13.467000,blink
13:57:13.827000,13:57:17.187000,garbage
13:57:17.531000,13:57:18.231000,gazeright
13:57:19.779000,13:57:20.055000,gazecenter
13:57:20.715000,13:57:21.171000,blink
13:57:21.671000,13:57:21.963000,gazeleft
13:57:22.139000,13:57:28.479000,garbage








