start,stop,label
13:59:28.183000,13:59:46.919000,garbage
13:59:47.211000,13:59:47.731000,gazedown
13:59:48.171000,13:59:48.631000,blink
13:59:49.215000,13:59:49.787000,gazedown
13:59:51.183000,13:59:51.651000,gazeup
13:59:52.191000,13:59:52.575000,blink
13:59:53.223000,13:59:53.639000,gazeup
13:59:55.247000,13:59:55.599000,gazedown
13:59:56.227000,13:59:56.695000,blink
13:59:57.047000,13:59:57.617000,gazedown
13:59:58.979000,13:59:59.365000,gazeup
14:00:00.111000,14:00:00.031000,blink
14:00:01.107000,14:00:01.451000,gazeup
14:00:03.231000,14:00:03.511000,gazedown
14:00:04.083000,14:00:04.479000,blink
14:00:05.139000,14:00:05.579000,gazedown
14:00:06.963000,14:00:07.339000,gazeup
14:00:07.879000,14:00:08.339000,blink
14:00:08.723000,14:00:09.275000,gazeup
14:00:11.019000,14:00:11.447000,gazedown
14:00:11.899000,14:00:12.295000,blink
14:00:12.859000,14:00:13.363000,gazedown
14:00:15.007000,14:00:15.459000,blink
14:00:16.915000,14:00:17.455000,gazeup
14:00:18.803000,14:00:19.291000,gazedown
14:00:19.683000,14:00:20.115000,blink
14:00:20.827000,14:00:21.339000,gazedown
14:00:22.707000,14:00:23.507000,blink
14:00:24.539000,14:00:25.007000,gazeup
14:00:26.851000,14:00:27.231000,gazedown
14:00:28.811000,14:00:29.699000,gazedown
14:00:30.627000,14:00:30.943000,gazeup
14:00:32.487000,14:00:32.855000,gazeup
14:00:34.627000,14:00:35.131000,gazedown
14:00:36.515000,14:00:37.103000,gazedown
14:00:38.555000,14:00:38.963000,gazeup
14:00:40.671000,14:00:41.047000,gazeup
14:00:42.695000,14:00:43.007000,gazedown
14:00:43.295000,14:00:51.963000,garbage
14:00:52.259000,14:00:52.719000,gazeup
14:00:54.299000,14:00:54.823000,gazedown
14:00:56.235000,14:00:57.051000,gazedown
14:00:58.203000,14:00:58.715000,gazeup
14:01:00.279000,14:01:00.731000,gazeup
14:01:02.107000,14:01:03.867000,garbage
14:01:03.983000,14:01:04.675000,gazedown
14:01:06.079000,14:01:06.519000,gazeup
14:01:07.131000,14:01:07.579000,blink
14:01:08.015000,14:01:08.455000,gazeup
14:01:10.179000,14:01:10.735000,gazedown
14:01:11.707000,14:01:12.291000,gazedown
14:01:13.751000,14:01:14.291000,gazeup
14:01:15.827000,14:01:16.239000,gazeup
14:01:17.851000,14:01:18.175000,gazedown
14:01:19.827000,14:01:20.251000,gazedown
14:01:20.419000,14:01:23.431000,garbage
14:01:23.719000,14:01:24.055000,gazeup
14:01:25.591000,14:01:27.235000,garbage
14:01:27.307000,14:01:27.971000,gazedown
14:01:29.647000,14:01:30.183000,gazeup
14:01:31.643000,14:01:32.075000,gazeup
14:01:33.647000,14:01:34.079000,gazedown
14:01:34.311000,14:01:35.303000,blink
14:01:35.527000,14:01:36.027000,gazedown
14:01:37.547000,14:01:37.791000,gazeup
14:01:38.519000,14:01:38.907000,blink
14:01:39.311000,14:01:39.691000,gazeup
14:01:41.479000,14:01:41.747000,gazedown
14:01:42.619000,14:01:43.007000,blink
14:01:43.303000,14:01:43.887000,gazedown
14:01:45.299000,14:01:45.855000,gazeup
14:01:46.371000,14:01:46.791000,blink
14:01:47.259000,14:01:47.655000,gazeup
14:01:49.471000,14:01:49.923000,gazedown
14:01:50.495000,14:01:50.899000,blink
14:01:51.323000,14:01:51.783000,gazedown
14:01:53.443000,14:01:53.911000,gazeup
14:01:55.343000,14:01:55.695000,gazeup
14:01:55.863000,14:01:58.987000,garbage








































