start,stop,label
11:34:26.225000,11:34:38.921000,garbage
11:34:39.089000,11:34:39.669000,gazeleft
11:34:41.053000,11:34:41.873000,gazeright
11:34:43.093000,11:34:43.801000,gazeleft
11:34:45.061000,11:34:45.753000,gazeright
11:34:47.033000,11:34:47.773000,gazeleft
11:34:49.101000,11:34:49.661000,gazeright
11:34:51.061000,11:34:51.949000,gazeleft
11:34:53.017000,11:34:53.749000,gazeright
11:34:55.025000,11:34:55.537000,gazeleft
11:34:56.969000,11:34:57.549000,gazeright
11:34:58.801000,11:34:59.449000,gazeleft
11:35:00.909000,11:35:01.445000,gazeright
11:35:02.921000,11:35:03.341000,gazeleft
11:35:04.857000,11:35:05.525000,gazeright
11:35:06.749000,11:35:07.581000,gazeleft
11:35:08.889000,11:35:09.477000,gazeright
11:35:10.661000,11:35:11.397000,gazeleft
11:35:12.817000,11:35:13.361000,gazeright
11:35:14.657000,11:35:15.165000,gazeleft
11:35:16.625000,11:35:17.101000,gazeright
11:35:18.477000,11:35:18.921000,gazeleft
11:35:20.489000,11:35:20.909000,gazeright
11:35:22.305000,11:35:22.765000,gazeleft
11:35:24.409000,11:35:24.893000,gazeright
11:35:26.473000,11:35:27.029000,gazeleft
11:35:28.389000,11:35:29.081000,gazeright
11:35:30.461000,11:35:31.133000,gazeleft
11:35:32.265000,11:35:32.809000,gazeright
11:35:34.169000,11:35:34.597000,gazeleft
11:35:36.265000,11:35:36.777000,gazeright
11:35:38.305000,11:35:38.793000,gazeleft
11:35:40.197000,11:35:40.877000,gazeright
11:35:42.141000,11:35:42.685000,gazeleft
11:35:44.225000,11:35:44.741000,gazeright
11:35:46.073000,11:35:46.633000,gazeleft
11:35:46.825000,11:35:47.721000,garbage
11:35:48.025000,11:35:48.509000,gazeright
11:35:48.829000,11:35:49.265000,blink
11:35:50.081000,11:35:50.701000,gazeleft
11:35:51.861000,11:35:52.357000,gazeright
11:35:52.785000,11:35:53.297000,blink
11:35:54.057000,11:35:54.689000,gazeleft
11:35:55.821000,11:35:56.321000,gazeright
11:35:56.897000,11:35:57.385000,blink
11:35:58.229000,11:35:58.961000,gazeleft
11:35:59.817000,11:36:00.393000,gazeright
11:36:01.665000,11:36:02.081000,gazeleft
11:36:03.793000,11:36:04.265000,gazeright
11:36:05.721000,11:36:06.397000,gazeleft
11:36:07.665000,11:36:08.393000,gazeright
11:36:09.661000,11:36:10.341000,gazeleft
11:36:11.817000,11:36:12.445000,gazeright
11:36:13.985000,11:36:14.533000,gazeleft
11:36:15.813000,11:36:16.285000,gazeright
11:36:17.789000,11:36:18.345000,gazeleft
11:36:19.737000,11:36:20.481000,gazeright
11:36:21.769000,11:36:22.421000,gazeleft
11:36:23.665000,11:36:24.325000,gazeright
11:36:25.589000,11:36:26.329000,gazeleft
11:36:27.637000,11:36:28.393000,gazeright
11:36:30.337000,11:36:31.001000,gazeleft
11:36:32.457000,11:36:33.157000,gazeright
11:36:34.397000,11:36:35.081000,gazeleft
11:36:36.345000,11:36:37.109000,gazeright
11:36:38.389000,11:36:39.133000,gazeleft
11:36:40.553000,11:36:41.089000,gazeright
11:36:42.293000,11:36:42.609000,gazeleft
11:36:44.401000,11:36:44.933000,gazeright
11:36:46.289000,11:36:46.865000,gazeleft
11:36:48.377000,11:36:48.821000,gazeright
11:36:50.233000,11:36:50.909000,gazeleft
11:36:52.225000,11:36:52.817000,gazeright
11:36:54.173000,11:36:54.617000,gazeleft
11:36:56.213000,11:36:56.725000,gazeright
11:36:58.009000,11:36:58.617000,gazeleft
11:37:00.021000,11:37:00.341000,gazeright
11:37:03.977000,11:37:02.197000,gazeleft
11:37:03.949000,11:37:04.445000,gazeright
11:37:05.585000,11:37:06.189000,gazeleft
11:37:07.621000,11:37:08.121000,gazeright
11:37:09.969000,11:37:10.429000,gazeleft
11:37:11.917000,11:37:12.373000,gazeright
11:37:14.025000,11:37:14.549000,gazeleft
11:37:15.569000,11:37:15.997000,gazeright
11:37:16.405000,11:37:40.913000,garbage










