start,stop,label
11:13:22.345000,11:13:24.517000,garbage
11:13:24.557000,11:13:24.937000,gazeleft
11:13:25.865000,11:13:26.069000,gazecenter
11:13:27.217000,11:13:27.577000,gazeleft
11:13:29.089000,11:13:29.397000,gazecenter
11:13:31.081000,11:13:31.617000,gazeleft
11:13:32.669000,11:13:33.009000,gazecenter
11:13:34.821000,11:13:35.301000,gazeleft
11:13:36.797000,11:13:37.197000,gazecenter
11:13:38.889000,11:13:39.437000,gazeleft
11:13:40.801000,11:13:41.205000,gazecenter
11:13:42.913000,11:13:43.437000,gazeleft
11:13:44.613000,11:13:44.941000,gazecenter
11:13:46.457000,11:13:46.857000,gazeleft
11:13:48.373000,11:13:48.729000,gazecenter
11:13:50.429000,11:13:50.901000,gazeleft
11:13:52.413000,11:13:52.757000,gazecenter
11:13:54.289000,11:13:54.629000,gazeleft
11:13:56.349000,11:13:56.717000,gazecenter
11:13:58.349000,11:13:58.685000,gazeleft
11:14:00.341000,11:14:00.677000,gazecenter
11:14:02.161000,11:14:02.577000,gazeleft
11:14:04.385000,11:14:04.717000,gazecenter
11:14:06.149000,11:14:06.601000,gazeleft
11:14:08.285000,11:14:08.641000,gazecenter
11:14:10.013000,11:14:10.557000,gazeleft
11:14:12.181000,11:14:12.469000,gazecenter
11:14:14.041000,11:14:14.489000,gazeleft
11:14:15.985000,11:14:16.269000,gazecenter
11:14:17.361000,11:14:17.689000,gazeleft
11:14:20.273000,11:14:20.601000,gazecenter
11:14:21.993000,11:14:22.605000,blink
11:14:24.153000,11:14:24.489000,gazecenter
11:14:24.557000,11:14:27.797000,garbage
11:14:27.925000,11:14:28.225000,gazeleft
11:14:28.321000,11:15:03.153000,garbage
11:15:03.369000,11:15:03.717000,gazecenter
11:15:05.273000,11:15:05.633000,gazeleft
11:15:06.909000,11:15:07.385000,gazecenter
11:15:09.001000,11:15:09.457000,gazeleft
11:15:10.913000,11:15:11.293000,gazecenter
11:15:13.457000,11:15:13.789000,gazeleft
11:15:14.633000,11:15:14.881000,gazecenter
11:15:15.181000,11:15:15.517000,gazecenter
11:15:17.085000,11:15:17.453000,gazeleft
11:15:19.121000,11:15:19.785000,gazecenter
11:15:20.981000,11:15:21.325000,gazeleft
11:15:22.973000,11:15:23.349000,gazecenter
11:15:25.017000,11:15:25.425000,gazeleft
11:15:26.973000,11:15:27.285000,gazecenter
11:15:28.981000,11:15:29.365000,gazeleft
11:15:30.929000,11:15:31.277000,gazecenter
11:15:32.821000,11:15:33.437000,gazeleft
11:15:34.965000,11:15:35.293000,gazecenter
11:15:35.605000,11:15:38.297000,garbage
11:15:38.733000,11:15:39.141000,gazecenter
11:15:40.645000,11:15:41.213000,gazeleft
11:15:42.617000,11:15:42.969000,gazecenter
11:15:43.009000,11:15:59.473000,garbage






















