start,stop,label
11:46:23.245000,11:46:25.797000,garbage
11:46:25.961000,11:46:26.377000,gazeleft
11:46:27.293000,11:46:27.701000,gazecenter
11:46:28.961000,11:46:29.305000,gazeleft
11:46:30.893000,11:46:31.233000,gazecenter
11:46:32.793000,11:46:33.297000,gazeleft
11:46:34.621000,11:46:35.021000,gazecenter
11:46:36.757000,11:46:37.249000,gazeleft
11:46:38.645000,11:46:39.385000,gazecenter
11:46:40.601000,11:46:40.933000,gazeleft
11:46:42.533000,11:46:42.977000,gazecenter
11:46:44.705000,11:46:45.265000,gazeleft
11:46:46.541000,11:46:47.005000,gazecenter
11:46:48.653000,11:46:49.309000,gazeleft
11:46:50.521000,11:46:51.033000,gazecenter
11:46:52.629000,11:46:53.125000,gazeleft
11:46:54.597000,11:46:54.929000,gazecenter
11:46:56.429000,11:46:56.965000,gazeleft
11:46:58.341000,11:46:58.913000,gazecenter
11:47:00.377000,11:47:00.981000,gazeleft
11:47:02.405000,11:47:02.961000,gazecenter
11:47:04.297000,11:47:04.989000,gazeleft
11:47:06.117000,11:47:06.549000,gazecenter
11:47:07.045000,11:47:07.717000,blink
11:47:08.257000,11:47:08.733000,gazeleft
11:47:10.205000,11:47:10.789000,gazecenter
11:47:11.173000,11:47:11.761000,blink
11:47:12.173000,11:47:12.609000,gazeleft
11:47:14.097000,11:47:14.581000,gazecenter
11:47:16.253000,11:47:16.737000,gazeleft
11:47:18.065000,11:47:18.657000,gazecenter
11:47:20.373000,11:47:20.941000,gazeleft
11:47:21.881000,11:47:22.509000,gazecenter
11:47:23.997000,11:47:24.533000,gazeleft
11:47:25.857000,11:47:26.593000,gazecenter
11:47:27.853000,11:47:28.381000,gazeleft
11:47:29.797000,11:47:30.541000,gazecenter
11:47:31.845000,11:47:32.389000,gazeleft
11:47:33.701000,11:47:34.337000,gazecenter
11:47:35.877000,11:47:36.273000,gazeleft
11:47:37.589000,11:47:38.149000,gazecenter
11:47:39.785000,11:47:40.333000,gazeleft
11:47:41.565000,11:47:42.185000,gazecenter
11:47:43.525000,11:47:44.005000,gazeleft
11:47:45.505000,11:47:46.093000,gazecenter
11:47:47.565000,11:47:48.193000,gazeleft
11:47:49.493000,11:47:50.025000,gazecenter
11:47:51.637000,11:47:52.205000,gazeleft
11:47:53.557000,11:47:54.129000,gazecenter
11:47:55.529000,11:47:56.021000,gazeleft
11:47:57.369000,11:47:57.989000,gazecenter
11:47:59.473000,11:47:59.945000,gazeleft
11:48:01.365000,11:48:01.997000,gazecenter
11:48:03.501000,11:48:04.041000,gazeleft
11:48:05.273000,11:48:05.797000,gazecenter
11:48:07.249000,11:48:07.809000,gazeleft
11:48:09.125000,11:48:09.729000,gazecenter
11:48:11.249000,11:48:11.857000,gazeleft
11:48:13.005000,11:48:13.497000,gazecenter
11:48:13.609000,11:48:14.733000,garbage
11:48:15.029000,11:48:15.529000,gazeleft
11:48:16.965000,11:48:17.409000,gazecenter
11:48:17.989000,11:48:18.637000,blink
11:48:19.097000,11:48:19.605000,gazeleft
11:48:21.045000,11:48:21.625000,gazecenter
11:48:22.949000,11:48:23.537000,gazeleft
11:48:24.917000,11:48:25.477000,gazecenter
11:48:26.961000,11:48:27.537000,gazeleft
11:48:28.821000,11:48:29.313000,gazecenter
11:48:29.797000,11:48:30.369000,blink
11:48:30.861000,11:48:31.437000,gazeleft
11:48:32.673000,11:48:33.245000,gazecenter
11:48:33.797000,11:48:34.217000,blink
11:48:34.821000,11:48:35.409000,gazeleft
11:48:36.817000,11:48:37.353000,gazecenter
11:48:37.657000,11:48:38.229000,blink
11:48:38.801000,11:48:39.381000,gazeleft
11:48:40.597000,11:48:41.193000,gazecenter
11:48:41.561000,11:48:42.101000,blink
11:48:42.701000,11:48:43.301000,gazeleft
11:48:44.505000,11:48:45.069000,gazecenter
11:48:45.513000,11:48:45.993000,blink
11:48:46.673000,11:48:47.341000,gazeleft
11:48:48.485000,11:48:48.981000,gazecenter
11:48:49.481000,11:48:49.805000,blink
11:48:50.521000,11:48:51.065000,gazeleft
11:48:51.225000,11:48:53.957000,garbage
11:48:54.257000,11:48:54.913000,gazeleft
11:48:56.197000,11:48:56.869000,gazecenter
11:48:58.449000,11:48:59.037000,gazeleft
11:49:00.293000,11:49:00.877000,gazecenter
11:49:02.313000,11:49:02.953000,gazeleft
11:49:04.181000,11:49:04.845000,gazecenter
11:49:05.281000,11:49:21.237000,garbage





