start,stop,label
11:21:58.297000,11:22:01.449000,garbage
11:22:01.561000,11:22:02.221000,gazeright
11:22:03.497000,11:22:03.985000,gazecenter
11:22:05.297000,11:22:05.725000,gazeright
11:22:07.393000,11:22:07.885000,gazecenter
11:22:09.337000,11:22:09.829000,gazeright
11:22:11.509000,11:22:12.049000,gazecenter
11:22:13.429000,11:22:13.901000,gazeright
11:22:15.449000,11:22:15.829000,gazecenter
11:22:16.269000,11:22:16.849000,blink
11:22:17.405000,11:22:17.897000,gazeright
11:22:19.357000,11:22:19.809000,gazecenter
11:22:21.333000,11:22:21.825000,gazeright
11:22:23.253000,11:22:23.689000,gazecenter
11:22:25.193000,11:22:25.717000,gazeright
11:22:27.201000,11:22:27.613000,gazecenter
11:22:28.977000,11:22:29.457000,gazeright
11:22:31.109000,11:22:31.453000,gazecenter
11:22:33.049000,11:22:33.533000,gazeright
11:22:35.145000,11:22:35.533000,gazecenter
11:22:36.973000,11:22:37.465000,gazeright
11:22:39.097000,11:22:39.525000,gazecenter
11:22:40.881000,11:22:41.381000,gazeright
11:22:43.013000,11:22:43.493000,gazecenter
11:22:44.833000,11:22:45.341000,gazeright
11:22:46.809000,11:22:47.289000,gazecenter
11:22:48.741000,11:22:49.289000,gazeright
11:22:50.729000,11:22:51.257000,gazecenter
11:22:51.685000,11:22:52.117000,blink
11:22:52.341000,11:22:52.817000,gazeright
11:22:54.513000,11:22:55.113000,gazecenter
11:22:55.929000,11:22:56.417000,blink
11:22:56.741000,11:22:57.053000,gazeright
11:22:58.753000,11:22:59.305000,gazecenter
11:23:00.757000,11:23:01.341000,gazeright
11:23:02.665000,11:23:03.085000,gazecenter
11:23:04.557000,11:23:05.049000,gazeright
11:23:06.377000,11:23:06.921000,gazecenter
11:23:07.521000,11:23:08.109000,blink
11:23:08.481000,11:23:08.841000,gazeright
11:23:10.497000,11:23:10.973000,gazecenter
11:23:11.385000,11:23:11.909000,blink
11:23:12.613000,11:23:13.093000,gazeright
11:23:14.493000,11:23:14.969000,gazecenter
11:23:16.317000,11:23:16.825000,gazeright
11:23:18.429000,11:23:18.881000,gazecenter
11:23:20.197000,11:23:20.825000,gazeright
11:23:22.237000,11:23:22.729000,gazecenter
11:23:24.229000,11:23:24.781000,gazeright
11:23:26.357000,11:23:26.885000,gazecenter
11:23:28.365000,11:23:28.817000,gazeright
11:23:30.213000,11:23:30.753000,gazecenter
11:23:32.057000,11:23:32.545000,gazeright
11:23:33.957000,11:23:35.737000,garbage
11:23:35.929000,11:23:36.373000,gazeright
11:23:37.985000,11:23:38.537000,gazecenter
11:23:40.033000,11:23:40.481000,gazeright
11:23:41.849000,11:23:42.313000,gazecenter
11:23:43.785000,11:23:44.253000,gazeright
11:23:45.717000,11:23:46.197000,gazecenter
11:23:47.717000,11:23:48.189000,gazeright
11:23:49.777000,11:23:50.213000,gazecenter
11:23:51.641000,11:23:52.281000,gazeright
11:23:53.757000,11:23:54.261000,gazecenter
11:23:55.577000,11:23:55.989000,gazeright
11:23:57.753000,11:23:58.349000,gazecenter
11:23:59.865000,11:24:00.341000,gazeright
11:24:01.801000,11:24:02.333000,gazecenter
11:24:03.517000,11:24:04.057000,gazeright
11:24:05.773000,11:24:06.173000,gazecenter
11:24:07.721000,11:24:08.101000,gazeright
11:24:09.581000,11:24:10.057000,gazecenter
11:24:11.569000,11:24:12.173000,gazeright
11:24:13.421000,11:24:13.869000,gazecenter
11:24:15.189000,11:24:15.705000,gazeright
11:24:17.305000,11:24:17.773000,gazecenter
11:24:19.257000,11:24:19.685000,gazeright
11:24:20.993000,11:24:21.389000,gazecenter
11:24:23.181000,11:24:23.605000,gazeright
11:24:25.185000,11:24:25.629000,gazecenter
11:24:27.157000,11:24:27.653000,gazeright
11:24:29.113000,11:24:29.633000,gazecenter
11:24:31.089000,11:24:31.569000,gazeright
11:24:33.037000,11:24:33.533000,gazecenter
11:24:34.805000,11:24:35.361000,gazeright
11:24:36.957000,11:24:37.341000,gazecenter
11:24:38.813000,11:24:39.321000,gazeright
11:24:40.909000,11:24:41.337000,gazecenter
11:24:42.753000,11:24:43.305000,gazeright
11:24:44.793000,11:24:45.221000,gazecenter
11:24:45.429000,11:25:03.625000,garbage







