start,stop,label
11:50:27.409000,11:50:32.689000,garbage
11:50:32.813000,11:50:33.365000,gazeright
11:50:34.593000,11:50:35.189000,gazecenter
11:50:36.577000,11:50:37.113000,gazeright
11:50:38.593000,11:50:39.125000,gazecenter
11:50:40.549000,11:50:41.109000,gazeright
11:50:42.473000,11:50:43.121000,gazecenter
11:50:44.397000,11:50:44.873000,gazeright
11:50:46.401000,11:50:46.977000,gazecenter
11:50:48.261000,11:50:48.817000,gazeright
11:50:50.281000,11:50:50.897000,gazecenter
11:50:52.213000,11:50:52.813000,gazeright
11:50:54.233000,11:50:54.809000,gazecenter
11:50:56.185000,11:50:56.877000,gazeright
11:50:58.273000,11:50:58.845000,gazecenter
11:51:00.165000,11:51:00.605000,gazeright
11:51:02.113000,11:51:02.753000,gazecenter
11:51:04.069000,11:51:04.597000,gazeright
11:51:05.993000,11:51:06.657000,gazecenter
11:51:08.109000,11:51:08.733000,gazeright
11:51:10.073000,11:51:10.685000,gazecenter
11:51:11.997000,11:51:12.445000,gazeright
11:51:13.941000,11:51:14.581000,gazecenter
11:51:15.893000,11:51:16.573000,gazeright
11:51:18.037000,11:51:18.689000,gazecenter
11:51:19.873000,11:51:20.377000,gazeright
11:51:21.761000,11:51:22.389000,gazecenter
11:51:24.221000,11:51:24.913000,gazeright
11:51:26.317000,11:51:26.973000,gazecenter
11:51:28.289000,11:51:28.897000,gazeright
11:51:29.977000,11:51:30.553000,gazecenter
11:51:32.201000,11:51:32.845000,gazeright
11:51:34.181000,11:51:34.817000,gazecenter
11:51:36.149000,11:51:36.769000,gazeright
11:51:38.001000,11:51:38.649000,gazecenter
11:51:40.085000,11:51:40.645000,gazeright
11:51:42.085000,11:51:42.641000,gazecenter
11:51:44.037000,11:51:44.749000,gazeright
11:51:45.909000,11:51:46.577000,gazecenter
11:51:48.029000,11:51:48.737000,gazeright
11:51:49.845000,11:51:50.525000,gazecenter
11:51:51.957000,11:51:52.541000,gazeright
11:51:53.893000,11:51:54.573000,gazecenter
11:51:55.813000,11:51:56.465000,gazeright
11:51:57.653000,11:51:58.305000,gazecenter
11:51:59.889000,11:52:00.609000,gazeright
11:52:01.769000,11:52:02.497000,gazecenter
11:52:03.641000,11:52:04.317000,gazeright
11:52:05.709000,11:52:06.349000,gazecenter
11:52:07.749000,11:52:08.385000,gazeright
11:52:09.481000,11:52:10.105000,gazecenter
11:52:11.373000,11:52:12.005000,gazeright
11:52:13.517000,11:52:14.169000,gazecenter
11:52:15.413000,11:52:16.093000,gazeright
11:52:17.477000,11:52:18.005000,gazecenter
11:52:19.357000,11:52:19.897000,gazeright
11:52:21.397000,11:52:21.961000,gazecenter
11:52:22.441000,11:52:23.009000,blink
11:52:23.393000,11:52:23.885000,gazeright
11:52:25.201000,11:52:25.733000,gazecenter
11:52:26.065000,11:52:26.525000,blink
11:52:27.089000,11:52:27.741000,gazeright
11:52:29.373000,11:52:29.993000,gazecenter
11:52:31.377000,11:52:31.957000,gazeright
11:52:32.849000,11:52:33.401000,gazecenter
11:52:33.765000,11:52:34.685000,blink
11:52:35.201000,11:52:35.829000,gazeright
11:52:37.057000,11:52:37.737000,gazecenter
11:52:38.033000,11:52:38.513000,blink
11:52:39.153000,11:52:39.713000,gazeright
11:52:41.033000,11:52:41.621000,gazecenter
11:52:42.041000,11:52:42.445000,blink
11:52:43.181000,11:52:43.725000,gazeright
11:52:45.129000,11:52:45.769000,gazecenter
11:52:46.121000,11:52:46.505000,blink
11:52:47.057000,11:52:47.653000,gazeright
11:52:49.101000,11:52:49.613000,gazecenter
11:52:49.921000,11:52:50.285000,blink
11:52:50.941000,11:52:51.549000,gazeright
11:52:53.017000,11:52:53.697000,gazecenter
11:52:54.913000,11:52:55.545000,gazeright
11:52:56.769000,11:52:57.373000,gazecenter
11:52:58.897000,11:52:59.489000,gazeright
11:53:00.497000,11:53:01.181000,gazecenter
11:53:02.625000,11:53:03.201000,gazeright
11:53:04.597000,11:53:05.257000,gazecenter
11:53:06.685000,11:53:07.265000,gazeright
11:53:08.645000,11:53:09.261000,gazecenter
11:53:10.565000,11:53:11.137000,gazeright
11:53:12.777000,11:53:13.465000,gazecenter
11:53:14.401000,11:53:14.993000,gazeright
11:53:16.473000,11:53:17.153000,gazecenter
11:53:18.337000,11:53:18.905000,gazeright
11:53:20.385000,11:53:20.977000,gazecenter
11:53:22.213000,11:53:22.801000,gazeright
11:53:24.549000,11:53:25.057000,gazecenter
11:53:26.301000,11:53:26.833000,gazeright
11:53:28.501000,11:53:29.069000,gazecenter
11:53:29.333000,11:53:31.605000,garbage
11:53:32.221000,11:53:32.749000,gazeright
11:53:34.141000,11:53:34.681000,gazecenter
11:53:34.809000,11:53:42.449000,garbage











