start,stop,label
13:50:52.499000,13:50:56.191000,garbage
13:50:56.203000,13:50:56.707000,blink
13:50:58.123000,13:50:58.519000,blink
13:51:00.267000,13:51:00.759000,blink
13:51:02.271000,13:51:02.727000,blink
13:51:04.327000,13:51:04.747000,blink
13:51:06.223000,13:51:06.695000,blink
13:51:08.071000,13:51:08.551000,blink
13:51:09.147000,13:51:09.579000,blink
13:51:10.211000,13:51:10.623000,blink
13:51:11.219000,13:51:11.655000,blink
13:51:12.235000,13:51:12.675000,blink
13:51:13.211000,13:51:13.595000,blink
13:51:14.195000,13:51:14.575000,blink
13:51:15.211000,13:51:15.627000,blink
13:51:16.159000,13:51:16.535000,blink
13:51:17.147000,13:51:17.495000,blink
13:51:18.091000,13:51:18.479000,blink
13:51:19.059000,13:51:19.435000,blink
13:51:19.963000,13:51:20.335000,blink
13:51:21.039000,13:51:21.427000,blink
13:51:22.027000,13:51:22.367000,blink
13:51:22.995000,13:51:23.375000,blink
13:51:23.959000,13:51:24.323000,blink
13:51:24.911000,13:51:25.319000,blink
13:51:25.895000,13:51:26.311000,blink
13:51:26.971000,13:51:27.339000,blink
13:51:27.947000,13:51:28.307000,blink
13:51:28.895000,13:51:29.263000,blink
13:51:29.943000,13:51:30.283000,blink
13:51:30.907000,13:51:31.299000,blink
13:51:31.867000,13:51:32.287000,blink
13:51:32.807000,13:51:33.255000,blink
13:51:33.743000,13:51:34.127000,blink
13:51:34.699000,13:51:35.043000,blink
13:51:35.699000,13:51:36.071000,blink
13:51:36.815000,13:51:37.147000,blink
13:51:37.803000,13:51:38.175000,blink
13:51:38.779000,13:51:39.107000,blink
13:51:39.775000,13:51:40.107000,blink
13:51:40.711000,13:51:41.019000,blink
13:51:41.703000,13:51:42.043000,blink
13:51:42.719000,13:51:43.055000,blink
13:51:43.731000,13:51:44.059000,blink
13:51:44.655000,13:51:44.939000,blink
13:51:45.603000,13:51:45.975000,blink
13:51:46.631000,13:51:46.983000,blink
13:51:47.587000,13:51:47.935000,blink
13:51:48.623000,13:51:49.027000,blink
13:51:49.647000,13:51:50.019000,blink
13:51:50.619000,13:51:50.979000,blink
13:51:51.571000,13:51:51.943000,blink
13:51:52.555000,13:51:52.943000,blink
13:51:53.515000,13:51:53.815000,blink
13:51:54.631000,13:51:54.999000,blink
13:51:55.591000,13:51:55.975000,blink
13:51:56.483000,13:51:56.895000,blink
13:51:57.435000,13:51:57.807000,blink
13:51:58.367000,13:51:58.763000,blink
13:51:59.471000,13:51:59.819000,blink
13:52:00.415000,13:52:00.703000,blink
13:52:01.391000,13:52:01.699000,blink
13:52:02.827000,13:52:03.159000,blink
13:52:03.923000,13:52:04.239000,blink
13:52:05.067000,13:52:05.391000,blink
13:52:06.207000,13:52:06.539000,blink
13:52:07.219000,13:52:07.527000,blink
13:52:08.195000,13:52:08.491000,blink
13:52:09.207000,13:52:09.531000,blink
13:52:10.271000,13:52:10.559000,blink
13:52:11.163000,13:52:11.479000,blink
13:52:12.203000,13:52:12.507000,blink
13:52:13.135000,13:52:13.439000,blink
13:52:14.111000,13:52:14.435000,blink
13:52:15.195000,13:52:15.475000,blink
13:52:16.243000,13:52:16.543000,blink
13:52:17.111000,13:52:17.407000,blink
13:52:18.079000,13:52:18.387000,blink
13:52:19.079000,13:52:19.367000,blink
13:52:20.059000,13:52:20.403000,blink
13:52:21.039000,13:52:21.351000,blink
13:52:22.115000,13:52:22.419000,blink
13:52:23.043000,13:52:23.359000,blink
13:52:24.111000,13:52:24.431000,blink
13:52:25.063000,13:52:25.347000,blink
13:52:26.011000,13:52:26.347000,blink
13:52:26.891000,13:52:27.215000,blink
13:52:27.803000,13:52:28.155000,blink
13:52:28.883000,13:52:29.183000,blink
13:52:29.891000,13:52:30.247000,blink
13:52:30.883000,13:52:31.227000,blink
13:52:31.819000,13:52:32.163000,blink
13:52:32.843000,13:52:33.167000,blink
13:52:33.819000,13:52:34.147000,blink
13:52:34.799000,13:52:35.143000,blink
13:52:35.779000,13:52:36.099000,blink
13:52:36.691000,13:52:37.007000,blink
13:52:37.699000,13:52:37.979000,blink
13:52:38.699000,13:52:39.019000,blink
13:52:39.667000,13:52:39.987000,blink
13:52:40.763000,13:52:41.115000,blink
13:52:41.767000,13:52:42.067000,blink
13:52:42.747000,13:52:43.047000,blink
13:52:43.663000,13:52:43.955000,blink
13:52:44.639000,13:52:44.919000,blink
13:52:45.651000,13:52:45.971000,blink
13:52:46.691000,13:52:46.975000,blink
13:52:47.559000,13:52:47.863000,blink
13:52:48.575000,13:52:48.931000,blink
13:52:49.571000,13:52:49.879000,blink
13:52:50.600000,13:52:50.899000,blink
13:52:51.679000,13:52:51.995000,blink
13:52:52.635000,13:52:52.955000,blink
13:52:53.559000,13:52:53.915000,blink
13:52:54.591000,13:52:54.891000,blink
13:52:55.635000,13:52:55.971000,blink
13:52:56.535000,13:52:56.851000,blink
13:52:56.883000,13:52:59.223000,garbage



