start,stop,label
13:01:53.036000,13:01:57.036000,garbage
13:01:57.164000,13:01:57.628000,gazeleft
13:01:59.844000,13:02:00.592000,gazeright
13:02:02.892000,13:02:03.560000,gazeleft
13:02:05.652000,13:02:06.520000,gazeright
13:02:08.816000,13:02:09.872000,gazeleft
13:02:11.792000,13:02:12.640000,gazeright
13:02:14.672000,13:02:15.648000,gazeleft
13:02:17.708000,13:02:18.508000,gazeright
13:02:20.764000,13:02:21.384000,gazeleft
13:02:23.408000,13:02:24.156000,gazeright
13:02:26.492000,13:02:27.204000,gazeleft
13:02:29.400000,13:02:30.196000,gazeright
13:02:32.356000,13:02:33.116000,gazeleft
13:02:35.000000,13:02:35.680000,gazeright
13:02:38.292000,13:02:39.020000,gazeleft
13:02:41.368000,13:02:42.108000,gazeright
13:02:44.088000,13:02:44.700000,gazeleft
13:02:47.036000,13:02:47.616000,gazeright
13:02:49.884000,13:02:50.752000,gazeleft
13:02:53.120000,13:02:53.700000,gazeright
13:02:54.548000,13:02:55.080000,blink
13:02:56.096000,13:02:56.816000,gazeleft
13:02:58.648000,13:02:59.232000,gazeright
13:03:00.100000,13:03:00.600000,blink
13:03:01.932000,13:03:02.424000,gazeleft
13:03:04.704000,13:03:05.196000,gazeright
13:03:07.284000,13:03:07.700000,blink
13:03:07.760000,13:03:08.440000,gazeleft
13:03:10.520000,13:03:11.188000,gazeright
13:03:13.692000,13:03:14.264000,gazeleft
13:03:16.512000,13:03:17.056000,gazeright
13:03:17.540000,13:03:18.268000,blink
13:03:19.508000,13:03:20.100000,gazeleft
13:03:22.140000,13:03:22.704000,gazeright
13:03:22.872000,13:03:23.396000,blink
13:03:23.908000,13:03:25.080000,garbage
13:03:25.456000,13:03:26.184000,gazeleft
13:03:28.420000,13:03:29.064000,gazeright
13:03:31.164000,13:03:31.792000,gazeleft
13:03:33.984000,13:03:34.664000,gazeright
13:03:37.264000,13:03:37.848000,gazeleft
13:03:40.056000,13:03:40.756000,gazeright
13:03:43.240000,13:03:43.812000,gazeleft
13:03:46.000000,13:03:46.464000,gazeleft
13:03:47.244000,13:03:47.736000,blink
13:03:49.096000,13:03:49.648000,gazeleft
13:03:51.944000,13:03:52.408000,gazeright
13:03:54.912000,13:03:55.404000,gazeleft
13:03:56.224000,13:03:56.656000,blink
13:03:57.840000,13:03:58.324000,gazeright
13:04:00.836000,13:04:07.620000,gazeleft
13:04:03.656000,13:04:04.268000,gazeright
13:04:06.692000,13:04:07.264000,gazeleft
13:04:09.544000,13:04:10.016000,gazeright
13:04:10.508000,13:04:11.060000,blink
13:04:12.548000,13:04:13.112000,gazeleft
13:04:14.048000,13:04:14.472000,blink
13:04:15.584000,13:04:16.028000,gazeright
13:04:16.828000,13:04:17.300000,blink
13:04:18.524000,13:04:19.096000,gazeleft
13:04:21.312000,13:04:21.856000,gazeright
13:04:22.832000,13:04:23.324000,blink
13:04:24.608000,13:04:25.048000,gazeleft
13:04:27.032000,13:04:27.464000,blink
13:04:27.504000,13:04:28.164000,gazeright
13:04:30.432000,13:04:30.956000,gazeleft
13:04:31.992000,13:04:32.436000,blink
13:04:32.504000,13:04:33.232000,gazeright
13:04:35.332000,13:04:35.688000,blink
13:04:36.416000,13:04:37.116000,gazeleft
13:04:38.860000,13:04:39.552000,gazeright
13:04:42.104000,13:04:42.856000,gazeleft
13:04:44.896000,13:04:45.556000,gazeright
13:04:48.020000,13:04:48.712000,gazeleft
13:04:50.544000,13:04:51.136000,gazeright
13:04:53.868000,13:04:54.360000,gazeleft
13:04:56.708000,13:04:57.444000,gazeright
13:04:59.940000,13:05:00.540000,gazeleft
13:05:02.564000,13:05:03.084000,gazeright
13:05:05.916000,13:05:06.448000,gazeleft
13:05:08.584000,13:05:09.060000,gazeright
13:05:11.820000,13:05:12.696000,gazeleft
13:05:13.732000,13:05:14.332000,gazeright
13:05:16.504000,13:05:17.184000,gazeleft
13:05:19.352000,13:05:19.932000,gazeright
13:05:22.616000,13:05:23.108000,gazeleft
13:05:24.832000,13:05:25.336000,gazeright
13:05:25.344000,13:05:25.856000,blink
13:05:28.420000,13:05:29.032000,gazeleft
13:05:31.132000,13:05:31.724000,gazeright
13:05:34.060000,13:05:34.660000,gazeleft
13:05:36.732000,13:05:37.736000,gazeright
13:05:40.084000,13:05:40.872000,gazeleft
13:05:43.112000,13:05:43.792000,gazeright
13:05:44.332000,13:05:46.620000,garbage




