start,stop,label
13:40:20.211000,13:40:24.387000,garbage
13:40:24.551000,13:40:24.911000,gazeright
13:40:26.391000,13:40:26.883000,gazecenter
13:40:29.307000,13:40:29.783000,gazeright
13:40:32.055000,13:40:32.459000,gazecenter
13:40:34.975000,13:40:35.527000,gazeright
13:40:37.839000,13:40:38.495000,blink
13:40:41.071000,13:40:41.483000,gazeright
13:40:43.823000,13:40:44.135000,gazecenter
13:40:45.283000,13:40:45.827000,blink
13:40:47.003000,13:40:47.503000,gazeright
13:40:48.599000,13:40:49.051000,blink
13:40:50.007000,13:40:50.327000,gazecenter
13:40:52.987000,13:40:53.351000,gazeright
13:40:55.455000,13:40:56.035000,gazecenter
13:40:58.911000,13:40:59.379000,gazeright
13:41:01.691000,13:41:02.227000,gazecenter
13:41:04.683000,13:41:05.039000,gazeright
13:41:07.299000,13:41:07.751000,gazecenter
13:41:10.555000,13:41:10.883000,gazeright
13:41:13.279000,13:41:13.779000,gazecenter
13:41:16.623000,13:41:16.779000,gazeright
13:41:19.039000,13:41:19.427000,gazecenter
13:41:22.419000,13:41:22.771000,gazeright
13:41:25.295000,13:41:25.679000,gazecenter
13:41:28.219000,13:41:28.595000,gazeright
13:41:31.303000,13:41:31.679000,gazecenter
13:41:34.083000,13:41:34.487000,gazeright
13:41:36.823000,13:41:37.235000,gazecenter
13:41:39.931000,13:41:40.323000,gazeright
13:41:42.811000,13:41:43.275000,gazecenter
13:41:45.823000,13:41:46.179000,gazeright
13:41:48.707000,13:41:49.147000,gazecenter
13:41:51.719000,13:41:52.111000,gazeright
13:41:54.563000,13:41:55.055000,gazecenter
13:41:57.727000,13:41:58.063000,gazeright
13:42:00.663000,13:42:01.015000,gazecenter
13:42:03.623000,13:42:04.019000,gazeright
13:42:06.399000,13:42:06.667000,gazecenter
13:42:09.559000,13:42:09.923000,gazeright
13:42:12.247000,13:42:12.747000,gazecenter
13:42:15.323000,13:42:15.631000,gazeright
13:42:18.287000,13:42:18.735000,gazecenter
13:42:21.375000,13:42:21.743000,gazeright
13:42:24.123000,13:42:24.491000,gazecenter
13:42:27.271000,13:42:27.619000,gazeright
13:42:30.091000,13:42:30.615000,gazecenter
13:42:33.071000,13:42:33.551000,gazeright
13:42:36.019000,13:42:36.407000,gazecenter
13:42:38.951000,13:42:39.323000,gazeright
13:42:41.791000,13:42:42.303000,gazecenter
13:42:44.847000,13:42:45.415000,gazeright
13:42:47.627000,13:42:48.271000,gazecenter
13:42:50.699000,13:42:51.175000,gazeright
13:42:53.291000,13:42:53.767000,gazecenter
13:42:54.255000,13:42:56.539000,garbage
13:42:57.023000,13:42:57.439000,gazeright
13:42:59.359000,13:43:00.039000,gazecenter
13:43:02.567000,13:43:02.987000,gazeright
13:43:04.579000,13:43:05.375000,gazecenter
13:43:07.559000,13:43:07.999000,gazeright
13:43:10.103000,13:43:10.611000,gazecenter
13:43:13.599000,13:43:14.023000,gazeright
13:43:16.227000,13:43:16.835000,gazecenter
13:43:19.327000,13:43:19.887000,gazeright
13:43:21.971000,13:43:22.471000,gazecenter
13:43:25.463000,13:43:25.715000,gazeright
13:43:27.763000,13:43:28.335000,gazecenter
13:43:28.451000,13:43:32.815000,garbage


