start,stop,label
13:11:58.824000,13:12:01.408000,garbage
13:12:01.648000,13:12:01.884000,gazeleft
13:12:02.540000,13:12:02.980000,gazecenter
13:12:04.424000,13:12:04.668000,gazeleft
13:12:06.336000,13:12:06.604000,gazecenter
13:12:08.336000,13:12:08.580000,gazeleft
13:12:09.996000,13:12:10.200000,gazecenter
13:12:12.296000,13:12:12.492000,gazeleft
13:12:14.376000,13:12:14.916000,gazecenter
13:12:16.336000,13:12:16.568000,gazeleft
13:12:18.196000,13:12:18.564000,gazecenter
13:12:19.164000,13:12:19.584000,gazecenter
13:12:21.260000,13:12:21.464000,gazeleft
13:12:22.920000,13:12:23.164000,gazecenter
13:12:24.212000,13:12:24.688000,blink
13:12:25.320000,13:12:25.620000,gazeleft
13:12:27.032000,13:12:27.428000,gazecenter
13:12:29.188000,13:12:29.432000,gazeleft
13:12:30.976000,13:12:31.536000,gazecenter
13:12:33.116000,13:12:33.352000,gazeleft
13:12:35.028000,13:12:35.492000,gazecenter
13:12:36.916000,13:12:37.296000,gazeleft
13:12:38.696000,13:12:39.092000,gazecenter
13:12:40.904000,13:12:41.120000,gazeleft
13:12:42.580000,13:12:43.024000,gazecenter
13:12:44.796000,13:12:44.992000,gazeleft
13:12:46.528000,13:12:47.040000,gazecenter
13:12:48.820000,13:12:49.060000,gazeleft
13:12:50.664000,13:12:50.968000,gazecenter
13:12:52.468000,13:12:52.724000,gazeleft
13:12:54.528000,13:12:54.904000,gazecenter
13:12:56.644000,13:12:56.832000,gazeleft
13:12:58.488000,13:12:59.076000,garbage
13:13:00.468000,13:13:00.676000,gazeleft
13:13:02.308000,13:13:02.884000,gazecenter
13:13:04.540000,13:13:04.772000,gazeleft
13:13:06.528000,13:13:07.112000,gazecenter
13:13:08.592000,13:13:08.820000,gazeleft
13:13:10.580000,13:13:11.044000,gazecenter
13:13:12.524000,13:13:12.648000,gazeleft
13:13:14.364000,13:13:14.784000,gazecenter
13:13:15.152000,13:13:17.832000,garbage



























































