start,stop,label
13:08:32.554000,13:08:35.046000,garbage
13:08:35.582000,13:08:35.798000,gazeright
13:08:36.570000,13:08:37.250000,gazecenter
13:08:37.514000,13:08:37.726000,gazeleft
13:08:38.686000,13:08:38.990000,gazecenter
13:08:39.554000,13:08:39.798000,gazeright
13:08:40.366000,13:08:40.602000,gazecenter
13:08:41.426000,13:08:41.638000,gazeleft
13:08:42.226000,13:08:42.634000,gazecenter
13:08:43.434000,13:08:43.674000,gazeright
13:08:44.322000,13:08:44.562000,gazecenter
13:08:45.446000,13:08:45.682000,gazeleft
13:08:46.262000,13:08:46.766000,gazecenter
13:08:47.338000,13:08:47.650000,gazeright
13:08:48.190000,13:08:48.406000,gazecenter
13:08:49.274000,13:08:49.510000,gazeleft
13:08:50.018000,13:08:50.494000,gazecenter
13:08:51.310000,13:08:51.566000,gazeright
13:08:52.230000,13:08:52.730000,gazecenter
13:08:53.418000,13:08:53.678000,gazeleft
13:08:54.162000,13:08:54.710000,gazecenter
13:08:55.246000,13:08:55.602000,gazeright
13:08:56.214000,13:08:56.214000,gazecenter
13:08:57.278000,13:08:57.278000,gazeleft
13:08:58.162000,13:08:58.622000,gazecenter
13:08:59.238000,13:08:59.450000,gazeright
13:08:59.942000,13:08:59.942000,gazecenter
13:09:01.010000,13:09:01.258000,gazeleft
13:09:01.914000,13:09:01.914000,gazecenter
13:09:02.982000,13:09:07.954000,garbage
13:09:08.998000,13:09:09.186000,gazeleft
13:09:09.922000,13:09:10.406000,gazecenter
13:09:10.354000,13:09:32.618000,garbage








