start,stop,label
13:19:10.615000,13:19:12.931000,garbage
13:19:12.999000,13:19:13.135000,gazeright
13:19:14.955000,13:19:15.295000,gazecenter
13:19:16.927000,13:19:17.867000,gazeright
13:19:18.927000,13:19:19.375000,gazecenter
13:19:20.935000,13:19:21.359000,gazeright
13:19:22.867000,13:19:23.259000,gazecenter
13:19:25.007000,13:19:25.471000,gazeright
13:19:26.699000,13:19:27.123000,gazecenter
13:19:27.543000,13:19:31.235000,garbage
13:19:31.355000,13:19:31.831000,blink
13:19:32.807000,13:19:33.187000,gazeright
13:19:34.587000,13:19:35.031000,gazecenter
13:19:36.707000,13:19:36.879000,gazeright
13:19:38.099000,13:19:38.743000,gazecenter
13:19:40.215000,13:19:40.883000,gazeright
13:19:42.403000,13:19:42.839000,gazecenter
13:19:44.063000,13:19:44.771000,gazeright
13:19:46.371000,13:19:46.587000,gazecenter
13:19:47.287000,13:19:47.703000,blink
13:19:48.611000,13:19:48.963000,gazeright
13:19:50.535000,13:19:50.751000,gazecenter
13:19:52.475000,13:19:52.935000,gazeright
13:19:54.191000,13:19:54.575000,gazecenter
13:19:56.267000,13:19:56.455000,gazeright
13:19:58.195000,13:19:58.531000,gazecenter
13:20:00.247000,13:20:00.647000,gazeright
13:20:02.123000,13:20:02.539000,gazecenter
13:20:04.127000,13:20:19.783000,garbage
13:20:19.807000,13:20:20.183000,gazeright
13:20:21.967000,13:20:22.407000,gazecenter
13:20:24.151000,13:20:24.543000,gazeright
13:20:25.919000,13:20:26.319000,gazecenter
13:20:27.635000,13:20:28.023000,gazeright
13:20:29.827000,13:20:30.311000,gazecenter
13:20:31.859000,13:20:31.859000,gazeright
13:20:33.859000,13:20:34.379000,gazecenter
13:20:35.819000,13:20:36.115000,gazeright
13:20:37.463000,13:20:38.043000,gazecenter
13:20:39.327000,13:20:39.767000,gazeright
13:20:41.575000,13:20:42.079000,gazecenter
13:20:43.503000,13:20:43.735000,gazeright
13:20:45.263000,13:20:45.863000,gazecenter
13:20:47.631000,13:20:48.095000,gazeright
13:20:49.339000,13:20:49.551000,gazecenter
13:20:51.651000,13:20:52.023000,gazeright
13:20:52.255000,13:20:59.323000,garbage
13:20:59.499000,13:20:59.731000,gazeright
13:21:01.151000,13:21:01.555000,gazecenter
13:21:01.659000,13:21:01.867000,gazeup
13:21:02.623000,13:21:02.943000,gazedown
13:21:03.303000,13:21:03.787000,gazeright
13:21:05.191000,13:21:05.535000,gazeleft
13:21:07.207000,13:21:07.599000,gazeright
13:21:09.003000,13:21:09.487000,gazecenter
13:21:11.075000,13:21:11.327000,gazeright
13:21:11.495000,13:21:12.011000,blink
13:21:12.899000,13:21:13.419000,gazecenter
13:21:15.211000,13:21:15.515000,gazeright
13:21:15.607000,13:21:19.513000,garbage


































