start,stop,label
13:22:27.035000,13:22:29.495000,garbage
13:22:29.647000,13:22:30.047000,gazeup
13:22:30.491000,13:22:30.979000,gazeup
13:22:31.619000,13:22:31.947000,gazedown
13:22:33.387000,13:22:33.803000,gazedown
13:22:35.523000,13:22:35.835000,gazeup
13:22:37.463000,13:22:38.031000,gazeup
13:22:39.343000,13:22:39.795000,gazedown
13:22:40.023000,13:22:40.551000,blink
13:22:41.667000,13:22:42.143000,gazedown
13:22:43.631000,13:22:43.971000,gazeup
13:22:45.519000,13:22:45.907000,gazeup
13:22:47.547000,13:22:48.123000,gazedown
13:22:49.427000,13:22:50.135000,gazedown
13:22:51.835000,13:22:52.235000,gazeup
13:22:53.455000,13:22:53.995000,gazeup
13:22:50.031000,13:22:55.999000,gazedown
13:22:57.607000,13:22:58.119000,gazedown
13:22:59.411000,13:22:59.951000,gazeup
13:23:01.339000,13:23:01.899000,gazeup
13:23:03.271000,13:23:03.911000,gazedown
13:23:05.343000,13:23:05.823000,gazedown
13:23:07.171000,13:23:07.435000,gazeup
13:23:09.079000,13:23:09.399000,gazeup
13:23:11.035000,13:23:11.455000,gazedown
13:23:13.271000,13:23:13.659000,gazedown
13:23:14.991000,13:23:15.275000,gazeup
13:23:16.971000,13:23:17.415000,gazeup
13:23:18.955000,13:23:19.391000,gazedown
13:23:21.171000,13:23:21.531000,gazedown
13:23:22.883000,13:23:23.103000,gazeup
13:23:25.055000,13:23:25.279000,gazeup
13:23:26.983000,13:23:27.399000,gazedown
13:23:29.051000,13:23:29.383000,gazedown
13:23:31.043000,13:23:31.191000,gazeup
13:23:32.859000,13:23:33.191000,gazeup
13:23:35.011000,13:23:35.439000,gazedown
13:23:36.927000,13:23:37.211000,gazedown
13:23:38.815000,13:23:39.019000,gazeup
13:23:40.887000,13:23:41.375000,gazeup
13:23:42.627000,13:23:42.999000,gazedown
13:23:44.947000,13:23:45.315000,gazedown
13:23:46.711000,13:23:46.963000,gazeup
13:23:48.755000,13:23:48.955000,gazeup
13:23:50.567000,13:23:50.983000,gazedown
13:23:51.119000,13:23:55.155000,garbage
13:23:55.291000,13:23:55.747000,gazeup
13:23:57.551000,13:23:57.983000,gazedown
13:23:59.783000,13:24:00.395000,gazedown
13:24:01.667000,13:24:01.887000,gazeup
13:24:03.599000,13:24:03.847000,gazeup
13:24:05.379000,13:24:05.795000,gazedown
13:24:07.491000,13:24:08.003000,gazedown
13:24:09.419000,13:24:09.731000,gazeup
13:24:11.531000,13:24:11.927000,gazeup
13:24:13.183000,13:24:13.623000,gazedown
13:24:15.475000,13:24:15.791000,gazedown
13:24:17.155000,13:24:17.483000,gazeup
13:24:19.343000,13:24:19.795000,gazeup
13:24:20.475000,13:24:20.679000,gazedown
13:24:20.939000,13:24:21.235000,gazedown
13:24:23.219000,13:24:23.619000,gazedown
13:24:25.095000,13:24:25.315000,gazeup
13:24:27.267000,13:24:27.731000,gazeup
13:24:28.959000,13:24:29.387000,gazedown
13:24:31.219000,13:24:31.599000,gazedown
13:24:32.991000,13:24:33.223000,gazeup
13:24:35.135000,13:24:35.303000,gazeup
13:24:37.095000,13:24:37.427000,gazedown
13:24:38.875000,13:24:39.407000,gazedown
13:24:40.831000,13:24:41.035000,gazeup
13:24:42.779000,13:24:43.047000,gazeup
13:24:44.575000,13:24:45.031000,gazedown
13:24:46.787000,13:24:47.095000,gazedown
13:24:48.543000,13:24:48.827000,gazeup
13:24:50.807000,13:24:51.099000,gazeup
13:24:52.699000,13:24:53.135000,gazedown
13:24:54.839000,13:24:55.295000,gazedown
13:24:56.687000,13:24:57.015000,gazeup
13:24:58.583000,13:24:58.899000,gazeup
13:25:00.447000,13:25:00.819000,gazedown
13:25:02.675000,13:25:03.011000,gazedown
13:25:04.335000,13:25:04.647000,gazeup
13:25:06.619000,13:25:06.923000,gazeup
13:25:08.111000,13:25:08.659000,gazedown
13:25:10.463000,13:25:10.907000,gazedown
13:25:12.283000,13:25:12.555000,gazeup
13:25:12.671000,13:25:15.923000,garbage
13:25:16.043000,13:25:16.547000,gazedown
13:25:16.811000,13:25:20.715000,garbage







