start,stop,label
14:14:52.134000,14:14:52.282000,gazeleft
14:14:54.194000,14:14:54.650000,blink
14:14:54.910000,14:14:55.250000,gazecenter
14:14:58.738000,14:14:58.922000,gazeright
14:15:02.670000,14:15:02.830000,gazecenter
14:15:06.430000,14:15:06.634000,gazeleft
14:15:10.402000,14:15:10.666000,gazecenter
14:15:14.478000,14:15:14.970000,gazeright
14:15:18.438000,14:15:18.610000,gazecenter
14:15:22.318000,14:15:22.786000,blink
14:15:23.734000,14:15:23.902000,gazecenter
14:15:24.654000,14:15:24.830000,gazeleft
14:15:26.318000,14:15:26.506000,gazecenter
14:15:30.078000,14:15:30.238000,gazeright
14:15:34.102000,14:15:34.314000,gazecenter
14:15:38.082000,14:15:38.250000,gazeleft
14:15:41.526000,14:15:41.830000,gazecenter
14:15:46.958000,14:15:47.186000,gazeright
14:15:51.826000,14:15:52.010000,gazecenter
14:15:54.686000,14:15:55.066000,gazeleft
14:15:58.886000,14:15:59.032000,gazecenter
14:16:02.702000,14:16:03.206000,gazeright
14:16:06.590000,14:16:06.762000,gazecenter
14:16:10.614000,14:16:10.822000,gazeright
14:16:14.662000,14:16:14.854000,gazecenter
14:16:18.474000,14:16:18.862000,gazeright
14:16:21.854000,14:16:22.262000,gazecenter
14:16:26.170000,14:16:26.358000,gazeleft
14:16:30.070000,14:16:30.262000,gazecenter
14:16:33.906000,14:16:34.354000,blink
14:16:34.634000,14:16:34.846000,gazecenter
14:16:35.734000,14:16:35.870000,gazeleft
14:16:36.202000,14:16:36.402000,gazecenter
14:16:36.738000,14:16:36.950000,gazeright
14:16:37.238000,14:16:37.414000,gazecenter
14:16:37.882000,14:16:38.394000,blink
14:16:38.406000,14:16:41.314000,garbage













