start,stop,label
14:24:52.533000,14:24:53.285000,gazeup
14:24:54.601000,14:24:54.937000,gazedown
14:24:56.537000,14:24:56.969000,gazedown
14:24:58.589000,14:24:58.889000,gazeup
14:25:00.881000,14:25:01.165000,gazeup
14:25:02.961000,14:25:03.369000,gazedown
14:25:05.077000,14:25:05.805000,gazedown
14:25:07.129000,14:25:07.625000,gazeup
14:25:09.193000,14:25:09.577000,gazeup
14:25:11.149000,14:25:11.421000,gazedown
14:25:12.941000,14:25:13.313000,gazedown
14:25:14.933000,14:25:15.229000,gazeup
14:25:17.013000,14:25:17.345000,gazeup
14:25:18.757000,14:25:19.101000,gazedown
14:25:20.933000,14:25:21.465000,gazedown
14:25:23.021000,14:25:23.493000,gazeup
14:25:25.273000,14:25:25.669000,gazeup
14:25:26.845000,14:25:27.217000,gazedown
14:25:27.589000,14:25:32.585000,garbage
14:25:32.721000,14:25:33.213000,gazeup
14:25:34.797000,14:25:35.109000,gazedown
14:25:35.517000,14:25:40.377000,garbage
14:25:40.549000,14:25:41.105000,gazeup
14:25:42.197000,14:25:42.741000,gazedown
14:25:44.469000,14:25:45.017000,gazedown
14:25:46.117000,14:25:46.869000,gazeup
14:25:48.529000,14:25:49.061000,gazeup
14:25:50.433000,14:25:50.717000,gazedown
14:25:52.721000,14:25:53.353000,gazedown
14:25:54.169000,14:25:54.885000,gazeup
14:25:56.345000,14:25:56.777000,gazeup
14:25:58.757000,14:25:59.265000,gazedown
14:26:00.601000,14:26:01.145000,gazedown
14:26:01.885000,14:26:02.641000,gazeup
14:26:04.557000,14:26:05.253000,gazeup
14:26:06.649000,14:26:07.093000,gazedown
14:26:08.589000,14:26:09.121000,gazedown
14:26:10.681000,14:26:11.113000,gazeup
14:26:12.449000,14:26:12.773000,gazeup
14:26:14.217000,14:26:14.737000,gazedown
14:26:14.913000,14:26:19.625000,garbage
14:26:19.845000,14:26:20.269000,gazeup
14:26:21.889000,14:26:22.209000,gazedown
14:26:24.001000,14:26:24.633000,gazedown
14:26:25.673000,14:26:26.341000,gazeup
14:26:27.849000,14:26:28.381000,gazeup
14:26:28.813000,14:26:35.393000,garbage
14:26:35.717000,14:26:36.213000,gazeup
14:26:38.029000,14:26:38.437000,gazedown
14:26:39.685000,14:26:40.217000,gazedown
14:26:41.321000,14:26:41.813000,gazeup
14:26:43.509000,14:26:44.005000,gazeup
14:26:44.101000,14:26:51.637000,garbage
14:26:51.845000,14:26:52.341000,gazeup
14:26:53.677000,14:26:54.157000,gazedown
14:26:54.369000,14:26:57.101000,garbage
14:26:57.401000,14:26:58.329000,gazeup
14:26:59.513000,14:26:59.973000,gazeup
14:27:00.009000,14:27:03.141000,garbage
14:27:03.313000,14:27:04.461000,gazedown
14:27:05.489000,14:27:06.121000,gazeup
14:27:07.777000,14:27:27.429000,garbage




















